# Committing increasingly large files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:          2016-10-16T22:29:41.025930
# commandline:   ./increasing_file_size.py git 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   d032b44 Fix default result status strings
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7838192 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 24  0x0001000000   16.0MiB     1.092     0.646  0x0002028000       ok  verified   assumed          62           0           2          64           0     0.871  0x000302f000       ok  verified   assumed          83           0           4          87           0     1.132  0x000202a000       ok   assumed          80           0           8         114          26
 24  0x0001800000   24.0MiB     1.643     0.961  0x0003028000       ok  verified   assumed          95           0           2          96           0     1.165  0x000482f000       ok  verified   assumed         111           0           6         116           0     1.687  0x000302d000       ok   assumed         124           0          12         171          29
 25  0x0002000000   32.0MiB     2.185     1.279  0x0004029000       ok  verified   assumed         126           0           2         127           0     1.539  0x0006031000       ok  verified   assumed         148           0           7         153           0     2.222  0x000402f000       ok   assumed         167           0          13         222          41
 25  0x0003000000   48.0MiB     3.276     1.919  0x000602a000       ok  verified   assumed         188           0           5         188           3     2.289  0x0009033000       ok  verified   assumed         220           0           9         225           3     3.369  0x0006035000       ok   assumed         254           0          25         335          59
 26  0x0004000000   64.0MiB     4.369     2.555  0x000802b000       ok  verified   assumed         252           0           4         249           6     3.047  0x000c035000       ok  verified   assumed         292           0          12         304           0     4.485  0x000803a000       ok   assumed         343           0          31         452          70
 26  0x0006000000   96.0MiB     6.553     3.826  0x000c02e000       ok  verified   assumed         371           0          11         379           2     4.544  0x001203b000       ok  verified   assumed         437           0          19         453           0     6.788  0x000c045000       ok   assumed         530           0          40         675         112
 27  0x0008000000  128.0MiB     8.739     5.100  0x0010030000       ok  verified   assumed         496           0          15         508           1     6.410  0x001803f000       ok  verified   assumed         619           0          23         637           2     9.061  0x0010050000       ok   assumed         709           0          52         904         144
 27  0x000c000000  192.0MiB    13.107     7.648  0x0018035000       ok  verified   assumed         748           0          19         756           6     9.047  0x0024049000       ok  verified   assumed         879           0          28         898           4    13.733  0x0018066000       ok   assumed        1074           0          87        1225         357
 28  0x0010000000  256.0MiB    17.474    10.193  0x002003a000       ok  verified   assumed         992           0          29        1013           4    12.047  0x0030053000       ok  verified   assumed        1167           0          40         982         215    18.371  0x002007b000       ok   assumed        1450           0         110        1661         448
 28  0x0018000000  384.0MiB    26.218    15.415  0x0030044000       ok  verified   assumed        1490           0          47        1174         368    18.417  0x0048067000       ok  verified   assumed        1749           0          59        1801          72    28.289  0x00300a7000       ok   assumed        2197           0         176        2072        1197
 29  0x0020000000  512.0MiB    35.354    20.379  0x004004e000       ok  verified   assumed        1979           0          62        1971          62    25.399  0x006007c000       ok  verified   assumed        2339           0          83        1727         923    37.758  0x00400d3000       ok   assumed        2943           0         234        3579         785
 29  0x0030000000  768.0MiB    53.027    41.982  0x0060064000       ok  verified   assumed        3208           0         120        3407        1651    46.822  0x00900a6000       ok  verified   assumed        3710           0         166        4199        1280    22.894  0x009009f000       ok   assumed         687           0         193        1276        2406
 30  0x0040000000    1.0GiB    70.703    46.720  0x0080078000       ok  verified   assumed        4267           0         160        3446        1456    54.864  0x00c00ce000       ok  verified   assumed        4940           0         217        4606        1200    29.959  0x00c00c7000       ok   assumed         876           0         244        1173        3618
 30  0x0060000000    1.5GiB   105.986    72.224  0x00c00a0000       ok  verified   assumed        6401           0         244        5823        1963    83.469  0x012011e000       ok  verified   assumed        7425           0         310        7202        1740    43.763  0x0120117000       ok   assumed        1171           0         314        1927        5018
 31  0x0080000000    2.0GiB   142.399    92.780  0x01000c8000       ok  verified   assumed        8506           0         344        7136        2549   116.843  0x018016e000       ok  verified   assumed        9886           0         509        9495        3314    97.953  0x0180166000       ok   assumed        1658           0         610        6057       10064
 31  0x00c0000000    3.0GiB   213.486   142.270  0x0180118000       ok  verified   assumed       12773           0         507       10918        4221   233.348  0x024020e000       ok  verified   assumed       15213           0        1085       20967        8721   181.492  0x0240206000       ok   assumed        2172           0         892       12198       18882
 32  0x0100000000    4.0GiB   285.152   383.672  0x0200168000       ok  verified   assumed       32929           0        1353       35176        6431   508.224  0x03002ae000       ok  verified   assumed       33700           0        2436       46245       18824   169.280  0x03002a6000       ok   assumed        3788           0        1300        8103       19979
 32  0x0180000000    6.0GiB   423.523   327.756  0x0300208000       ok  verified   assumed       25616           0        1194       28601        9997   417.024  0x04803ee000       ok  verified   assumed       28331           0        2171       36958       15582   382.368  0x04803e6000       ok   assumed        6602           0        2822       22501       43455
 33  0x0200000000    8.0GiB   564.537   868.892  0x04002a8000       ok  verified   assumed       66000           0        3169       78715       24942  1128.417  0x060052e000       ok  verified   assumed       67319           0        6724       92804       57841   549.325  0x0600526000       ok   assumed        8673           0        3142       29547       67208
# Commit error, however commit seems ok and repo intact. Original Error: CallFailedError(cmd='git commit -m 'Add large_file'', exitcode='128')
 33  0x0300000000   12.0GiB   848.403  1387.982  0x06003e8000       ok  verified   assumed       99104           0        5361      120278       51848  1390.848  0x09007ae000   failed  verified  verified       99203           0        5324      120945       51768   925.044  0x09007a6000       ok   assumed       13157           0        4946       51730      113410
# Commit error, however commit seems ok and repo intact. Original Error: CallFailedError(cmd='git commit -m 'Add large_file'', exitcode='128')
 34  0x0400000000   16.0GiB  1136.142  2023.776  0x0800528000       ok  verified   assumed      132107           0        8192      167213       95888  2037.703  0x0c00a2e000   failed  verified  verified      132131           0        8186      168757       97188  1381.794  0x0c00a25000       ok   assumed       17028           0        6565       78747      171516
# CorruptRepoException("Commit command failed. Commit written. Repo corrupt. Original commit error: CallFailedError(cmd='git commit -m 'Add large_file'', exitcode='128')",)
