# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-19T13:54:21.820748
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7939500 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 25  0x0002000000   32.0MiB     2.187     2.607  0x0004072000       ok  verified   assumed         152           0          10         348          11     1.188  0x000407d000       ok  verified   assumed          55           0          11         146          23     0.000  0x000407d000       ok   assumed           0           0           0           0           0
 25  0x0003000000   48.0MiB     3.279     2.944  0x0006097000       ok  verified   assumed         210           0          20         345          13     1.738  0x00060a9000       ok  verified   assumed          73           0          15         232          29     0.000  0x00060a9000       ok   assumed           0           0           0           0           0
 26  0x0004000000   64.0MiB     4.373     3.238  0x00080c2000       ok  verified   assumed         270           0          28         339           9     2.328  0x00080d5000       ok  verified   assumed          94           0          12         319          38     0.000  0x00080d5000       ok   assumed           0           0           0           1           0
 26  0x0006000000   96.0MiB     6.557     5.052  0x000c10f000       ok  verified   assumed         398           0          37         566           6     2.400  0x000c12d000       ok  verified   assumed         127           0          18         282          51     0.000  0x000c12d000       ok   assumed           0           0           0           0           0
 27  0x0008000000  128.0MiB     8.740     6.648  0x0010165000       ok  verified   assumed         526           0          46         744           9     3.653  0x001018b000       ok  verified   assumed         166           0          23         474          66     0.000  0x001018b000       ok   assumed           0           0           1           0           0
 27  0x000c000000  192.0MiB    13.114     9.221  0x0018202000       ok  verified   assumed         792           0          54         981          12     3.852  0x0018236000       ok  verified   assumed         239           0          35         421          75     0.000  0x0018236000       ok   assumed           0           0           1           0           0
 28  0x0010000000  256.0MiB    17.484    11.346  0x00202a5000       ok  verified   assumed        1040           0          79        1132          10     5.163  0x00202eb000       ok  verified   assumed         321           0          35         569         101     0.000  0x00202eb000       ok   assumed           0           0           0           0           0
 28  0x0018000000  384.0MiB    26.225    16.537  0x00303d3000       ok  verified   assumed        1553           0         103        1525         116     8.115  0x003043c000       ok  verified   assumed         487           0          48         937         139     0.000  0x003043c000       ok   assumed           0           0           0           0           0
 29  0x0020000000  512.0MiB    35.228    22.005  0x004052f000       ok  verified   assumed        2066           0         132        2044         155    17.936  0x00405b6000       ok  verified   assumed         636           0          74        1572        1286     0.000  0x00405b6000       ok   assumed           0           0           0           1           0
 29  0x0030000000  768.0MiB    52.764    33.454  0x006078f000       ok  verified   assumed        3090           0         196        3294         103    25.221  0x006085c000       ok  verified   assumed         952           0         106        2046        1919     0.000  0x006085c000       ok   assumed           0           0           0           0           0
