# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-20T17:58:18.597778
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7818984 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 27  0x000c000000  192.0MiB    13.108     9.332  0x0018200000       ok  verified   assumed         774           0          70         999          16     3.932  0x001823a000       ok  verified   assumed         249           0          37         433          65     0.000  0x001823a000       ok   assumed           0           0           0           0           0
 28  0x0010000000  256.0MiB    17.482    11.221  0x00202a4000       ok  verified   assumed        1036           0          81        1101          18     4.995  0x00202e8000       ok  verified   assumed         312           0          39         526         120     0.000  0x00202e8000       ok   assumed           0           0           0           0           0
 28  0x0018000000  384.0MiB    26.214    16.783  0x00303db000       ok  verified   assumed        1560           0         103        1530         154     7.788  0x0030445000       ok  verified   assumed         483           0          47         896         123     0.000  0x0030445000       ok   assumed           0           0           0           0           0
 29  0x0020000000  512.0MiB    35.111    22.403  0x004052a000       ok  verified   assumed        2054           0         144        2259          21    12.750  0x00405af000       ok  verified   assumed         645           0          71        1291         529     0.000  0x00405af000       ok   assumed           0           0           0           0           0
 29  0x0030000000  768.0MiB    52.585    33.609  0x0060796000       ok  verified   assumed        3086           0         196        3366          62    23.602  0x006085e000       ok  verified   assumed         957           0         106        1945        1688     0.000  0x006085e000       ok   assumed           0           0           0           0           0
 30  0x0040000000    1.0GiB    70.050    44.324  0x0080a37000       ok  verified   assumed        4136           0         267        3609         831    18.815  0x0080b3e000       ok  verified   assumed        1198           0         122        1999         413     0.000  0x0080b3e000       ok   assumed           0           0           0           0           0
 30  0x0060000000    1.5GiB   105.261    66.817  0x00c0f02000       ok  verified   assumed        6221           0         380        6146         594    37.079  0x00c108c000       ok  verified   assumed        1877           0         192        3585        1713     0.000  0x00c108c000       ok   assumed           0           0           0           0           0
 31  0x0080000000    2.0GiB   140.033    88.466  0x01013e0000       ok  verified   assumed        8360           0         484        7378        1437    40.502  0x01015ee000       ok  verified   assumed        2510           0         237        4383         920     0.000  0x01015ee000       ok   assumed           0           0           0           0           0
 31  0x00c0000000    3.0GiB   210.795   132.772  0x0181de4000       ok  verified   assumed       12520           0         736       11128        2114    64.741  0x01820f2000       ok  verified   assumed        3949           0         354        7281        1310     0.000  0x01820f2000       ok   assumed           0           0           0           0           0
 32  0x0100000000    4.0GiB   281.008   176.172  0x0202875000       ok  verified   assumed       16680           0         983       15028        2472    83.145  0x020369b000       ok  verified   assumed        5100           0         481        9022        1936     0.000  0x020369b000       ok   assumed           0           0           0           0           0
 32  0x0180000000    6.0GiB   421.654   265.011  0x0304ac2000       ok  verified   assumed       25013           0        1457       22236        4190   119.555  0x03050db000       ok  verified   assumed        7840           0         732       13218        2008     0.000  0x03050db000       ok   assumed           0           0           1           0           0
 33  0x0200000000    8.0GiB   561.232   498.401  0x0405e07000       ok  verified   assumed       34122           0        2246       47027       15979   166.746  0x0407140000       ok  verified   assumed       10709           0         980       19368        2130     0.000  0x0407140000       ok   assumed           0           0           0           0           0
 33  0x0300000000   12.0GiB   847.221   762.166  0x060955c000       ok  verified   assumed       51254           0        3290       71636       25714   248.026  0x060b9a8000       ok  verified   assumed       15983           0        1479       28302        3602     0.000  0x060b9a8000       ok   assumed           0           0           0           0           0
 34  0x0400000000   16.0GiB  1130.877  1031.549  0x080e15a000       ok  verified   assumed       68502           0        4417       96327       36403   336.885  0x080e259000       ok  verified   assumed       21366           0        2016       38175        5485     0.000  0x080e259000       ok   assumed           0           0           0           0           0
 34  0x0600000000   24.0GiB  1699.958  1610.881  0x0c15838000       ok  verified   assumed      102713           0        6780      148140       63578   535.606  0x0c15529000       ok  verified   assumed       32545           0        2933       62171        8887     0.000  0x0c15529000       ok   assumed           0           0           0           0           0
 35  0x0800000000   32.0GiB  2274.544  2079.609  0x101a211000       ok  verified   assumed      136692           0        9149      194880       73905   713.941  0x101c26b000       ok  verified   assumed       42625           0        4044       80337       15146     0.000  0x101c26b000       ok   assumed           0           0           1           1           0
 35  0x0c00000000   48.0GiB  3391.594  3185.619  0x1827446000       ok  verified   assumed      205616           0       13624      296992      118903   984.630  0x182a4cd000       ok  verified   assumed       63795           0        5932      110382       15858     0.000  0x182a4cd000       ok   assumed           0           0           0           0           0
 36  0x1000000000   64.0GiB  4544.506  4261.092  0x203ab76000       ok  verified   assumed      274518           0       18213      398718      158094  1416.615  0x2038807000       ok  verified   assumed       85433           0        7073      160106       29329     0.000  0x2038807000       ok   assumed           0           0           0           0           0
 36  0x1800000000   96.0GiB  6789.152  6504.779  0x304edb5000       ok  verified   assumed      410471           0       27907      610762      247667  2132.749  0x3054ec1000       ok  verified   assumed      129874           0       12031      245182       37240     0.000  0x3054ec1000       ok   assumed           0           0           1           1           0
# CallFailedError(cmd='bup save -n 'test_run' large_file', exitcode='1')
 37  0x2000000000  128.0GiB  9010.518  4452.646        (None)   failed       bad  verified      290662           0       19703      419986      157076    (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)    (None)        (None)  no_exec    no_ver      (None)      (None)      (None)      (None)      (None)
# CallFailedError(cmd='bup save -n 'test_run' large_file', exitcode='1')
 37  0x3000000000  192.0GiB  13505.455   309.220        (None)   failed       bad  verified       19706           0        1316       29236       11396    (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)    (None)        (None)  no_exec    no_ver      (None)      (None)      (None)      (None)      (None)
