# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f9/b1/0e99c62e2bd8fb8345712f15a61aaf981ec1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:04:01.679652
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7611744 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          2          2            80             1      0.000        ok       0.000  0x0005cd3800  0x000020d000  0x00058c6800  0x0000075800      0.003
0x0000001000          2          2            81             1      0.000        ok       0.000  0x0005cd3800  0x000020ec00  0x00058c4c00  0x0000077000      0.003
0x0000001000          2          2            82             1      0.000        ok       0.000  0x0005cd3800  0x0000210800  0x00058c3000  0x0000078800      0.003
0x0000001000          2          2            83             1      0.000        ok       0.000  0x0005cd3800  0x0000212400  0x00058c1400  0x000007a000      0.003
0x0000001000          2          2            84             1      0.000        ok       0.000  0x0005cd3800  0x0000213c00  0x00058bfc00  0x000007b400      0.003
0x0000001000          2          2            85             1      0.000        ok       0.000  0x0005cd3800  0x0000215800  0x00058be000  0x000007cc00      0.003
0x0000001000          2          2            86             1      0.000        ok       0.000  0x0005cd3800  0x0000217400  0x00058bc400  0x000007e400      0.003
0x0000001000          2          2            87             1      0.000        ok       0.000  0x0005cd3800  0x0000219000  0x00058ba800  0x000007fc00      0.003
0x0000001000          2          2            88             1      0.000        ok       0.000  0x0005cd3800  0x000021ac00  0x00058b8c00  0x0000081400      0.003
0x0000001000          2          2            89             1      0.000        ok       0.000  0x0005cd3800  0x000021c800  0x00058b7000  0x0000082c00      0.003
0x0000001000          2          2            90             1      0.000        ok       0.000  0x0005cd3800  0x000021e000  0x00058b5800  0x0000084000      0.003
0x0000001000          2          2            91             1      0.000        ok       0.000  0x0005cd3800  0x000021fc00  0x00058b3c00  0x0000085800      0.003
0x0000001000          2          2            92             1      0.000        ok       0.000  0x0005cd3800  0x0000221800  0x00058b2000  0x0000087000      0.003
0x0000001000          2          2            93             1      0.000        ok       0.000  0x0005cd3800  0x0000223400  0x00058b0400  0x0000088800      0.003
